,page,line,text,CODE,Text
10,3,12," Costs associated with hearing tests, vision corrections, prosthetic devices or hearing and vision aids",90882,"Environmental intervention for medical management purposes on a psychiatric patient's behalf with agencies, employers, or institutions"
11,3,13,"Mental Health diseases, in-patient and out-patient treatments, unless the condition is a transient mental disorder or an acute reaction to stress",95070,"Inhalation bronchial challenge testing (not including necessary pulmonary function tests); with histamine, methacholine, or similar compounds"
12,3,14," Patient treatment supplies (including elastic stockings, ace bandages, gauze, syringes, diabetic test strips, and like products; non-prescription drugs and treatments, excluding such supplies required as a result of Healthcare Services rendered during a Medical Emergency)",95130,"Professional services for allergen immunotherapy in the office or institution of the prescribing physician or other qualified health care professional, including provision of allergenic extract; single stinging insect venom"
13,3,15," Preventive services, including vaccinations, immunizations, allergy testing and desensitization; any physical, psychiatric or psychological examinations or testing during these examinations",95961,"Functional cortical and subcortical mapping by stimulation and/or recording of electrodes on brain surface, or of depth electrodes, to provoke seizures or identify vital brain structures; initial hour of attendance by a physician or other qualified health care professional"
14,3,16," Services rendered by any medical provider relevant of a patient for example the Insured person and the Insured member’s family, including spouse, brother, sister, parent or child",99071,"Educational supplies, such as books, tapes, and pamphlets, for the patient's education at cost to physician or other qualified health care professional"
1,11,3," Alternative Therapies (including but not limited to): o Acupuncture, Chiropractice, Osteopathy, Hydrotherapy, Homeopathy, Herbal and Ayurvedic treatment, Spa, mud_ treatment, thalassotherapy, lymphatic drainage, magnotherapy etc",67227,"Destruction of extensive or progressive retinopathy (eg, diabetic retinopathy), cryotherapy, diathermy"
2,11,4," o Weight control counseling programs and treatment, etc",4025F,Inhaled bronchodilator prescribed (COPD)
3,11,5, o Smoking cessation and nicotine addiction treatment,85360,Euglobulin lysis
4,11,6," o Drug, alcohol, substance abuse or addiction treatment",1461F,No qualifying cardiac event/diagnosis in previous 12 months (CAD)
5,11,7, o Long term care facilities e,99429,Unlisted preventive medicine service
6,11,8,g,84630,Zinc
7,11,9," sanitoriums, asylums, old age homes, etc",99429,Unlisted preventive medicine service
8,11,10, o Home care,99504,Home visit for mechanical ventilation care
9,11,11, Consultations: o Psychiatric consultations,90845,Psychoanalysis
10,11,12," o Dietician consultations and services o Insurance, work related or medical disability evaluation",3132F,Documentation of referral for upper gastrointestinal endoscopy (GERD)
11,11,13, o Preventative care and general medical check-ups,91122,Anorectal manometry
12,11,14, o Doctors’ home visits,99429,Unlisted preventive medicine service
13,11,15, Diagnostics: o Alcohol & drug testing,81020,Urinalysis; 2 or 3 glass test
14,11,16," sion screening tests, routine eye exams, optical services",77399,"Unlisted procedure, medical radiation physics, dosimetry and treatment devices, and special services"
15,11,17," © Preventative screening tests, check-ups",89260,"Sperm isolation; simple prep (eg, sperm wash and swim-up) for insemination or diagnosis with semen analysis"
16,11,18, o Desensitization and allergen tests,85421,"Fibrinolytic factors and inhibitors; plasminogen, antigenic assay"
17,11,19, o Genetic testing,86849,Unlisted immunology procedure
18,11,20," Durable Medical Equipment, Medical Supplies and External Prosthesis and their operating requirements and/or maintenance: o All durable medical equipment, supplies and personal convenience items for home use",99002,"Handling, conveyance, and/or any other service in connection with the implementation of an order involving devices (eg, designing, fitting, packaging, handling, delivery or mailing) when devices such as orthotics, protectives, prosthetics are fabricated by an outside laboratory or shop but which items have been designed, and are to be fitted and adjusted by the attending physician or other qualified health care professional"
19,11,21," o All External Prostheses, Orthotics, Protective Devices, Sensory, Speech and Other Assistive Devices",29355,Application of long leg cast (thigh to toes); walker or ambulatory type
1,2,3," Healthcare Services, which are not medically necessary",99058,"Service(s) provided on an emergency basis in the office, which disrupts other scheduled office services, in addition to basic service"
2,2,4," All expenses relating to dental treatment, dental prostheses, and orthodontic treatments",90956,"End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 1 face-to-face visit by a physician or other qualified health care professional per month"
3,2,5, Domiciliary care; private nursing care; care for the sake of travelling,20937,Autograft for spine surgery only (includes harvesting the graft); morselized (through separate skin or fascial incision) (List separately in addition to code for primary procedure)
4,2,6, Custodial care includes a,1936,Anesthesia for percutaneous image guided procedures on the spine and spinal cord; therapeutic
5,2,7, Non-medical treatment services; or b,90899,Unlisted psychiatric service or procedure
6,2,8, Health-related services which do not seek to improve or which do not result in a change in the medical condition of the patient,94014,"Patient-initiated spirometric recording per 30-day period of time; includes reinforced education, transmission of spirometric tracing, data capture, analysis of transmitted data, periodic recalibration and review and interpretation by a physician or other qualified health care professional"
7,2,9, Services which do not require continuous administration by specialized medical personnel,99058,"Service(s) provided on an emergency basis in the office, which disrupts other scheduled office services, in addition to basic service"
8,2,10," Personal comfort and convenience items (television, barber or beauty service, guest service and similar incidental services and supplies)",90953,"End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 1 face-to-face visit by a physician or other qualified health care professional per month"
9,2,11, Healthcare Services and associated expenses for replacement of an existing breast implant,90951,"End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a physician or other qualified health care professional per month"
10,2,12," Cosmetic operations which improve physical appearance and which are related to an Injury, sickness or congenital anomaly when the primary purpose is to improve physiological functioning of the involved part of the body",66982,"Extracapsular cataract removal with insertion of intraocular lens prosthesis (1-stage procedure), manual or mechanical technique (eg, irrigation and aspiration or phacoemulsification), complex, requiring devices or techniques not generally used in routine cataract surgery (eg, iris expansion device, suture support for intraocular lens, or primary posterior capsulorrhexis) or performed on patients in the amblyogenic developmental stage"
11,2,13, Breast reconstruction following a mastectomy for cancer is covered,21263,"Periorbital osteotomies for orbital hypertelorism, with bone grafts; with forehead advancement"
12,2,14," Surgical and non-surgical treatment for obesity (including morbid obesity), and any other weight control programs, services, or supplies",67229,"Treatment of extensive or progressive retinopathy, 1 or more sessions, preterm infant (less than 37 weeks gestation at birth), performed from birth up to 1 year of age (eg, retinopathy of prematurity), photocoagulation or cryotherapy"
13,2,15," Medically — non-approved experimental, research, investigational healthcare services, treatments, devices and pharmacological regimens",77399,"Unlisted procedure, medical radiation physics, dosimetry and treatment devices, and special services"
